Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total_export,Coffee_Bean_Type
Nicaragua,36622210,22342102,36431122,27701348,35775137,39049742,45674379,41210212,55121204,54473287,76598173,76602061,51713564,59369253,75863923,57348523,78795966,69391768,94839383,76742434,97071394,82842952,109485302,93073267,104028073,101174905,107907822,134902917,126223045,171227322,2388360000,Robusta
Nigeria,217321,58723,623588,586702,450285,837421,379537,386501,562142,523610,403248,405657,286310,525923,330454,438163,1612289,521695,111285,54978,164567,384327,111549,57703,58628,168194,58446,171282,175859,116562,11400000,Robusta
Panama,7569179,6734285,7080135,7339530,4358511,10432847,7658051,6721349,8308253,6911777,4006351,3084148,4734123,4923840,5500614,5060369,5988598,6078406,6576429,3436835,3701083,2895741,2789988,2818459,2887304,2892146,3208295,2713810,2636740,2784173,161520000,Arabica
Papua New Guinea,59112354,45028328,50839871,57766120,63037927,54510178,63832825,61108630,78749177,76650136,59285205,59560438,59583737,62535645,58335396,68286620,48561729,52127105,61508653,57681093,51273648,70365875,52065624,47127177,46708015,39986881,62176436,46153364,50214099,44674067,1814100000,Robusta
Paraguay,15263408,6652628,2342142,3352834,2616038,1143192,876259,1957080,1101899,164118,270236,56576,1145333,1693588,970778,1331439,1404012,1741167,58440,0,0,0,0,0,0,0,0,0,0,0,46740000,Arabica
Peru,64531106,56636116,62338065,44833959,58397587,98379997,96019845,90751610,105959632,133560842,136332208,152887171,154841679,137532750,177691302,138794678,220388496,164214628,206543162,170492740,221378604,265632263,243191646,218406086,157759117,161437309,221833803,215131715,229420126,211976221,4903920000,Robusta
Philippines,9598295,5643595,2231663,1985670,7115573,3135997,1584053,1701135,1144966,493147,278520,162946,389580,681726,1630289,1855656,2144175,1841224,227312,385419,346152,540558,167449,343213,692245,842704,757167,503424,216375,381406,52440000,Excelsa
Rwanda,42748756,26480332,34925794,26503466,1683331,17379042,15417179,11834961,12175066,17784950,15631922,15129887,18950565,13797623,25493568,13266374,21966489,14828496,18916969,16637388,16276615,15359204,14349168,14083809,14732097,14535131,13696467,13944482,19423772,22083402,578700000,Arabica
Sierra Leone,8153057,5874794,2653044,2292469,3408388,4118864,1624279,2626066,2330886,1327336,2190821,1952021,4526695,1926256,1294775,1157385,2963484,2960618,1415693,5926834,3153942,2168630,3599165,3349609,1325256,3116641,1416533,1966106,1507077,2750326,90060000,Arabica
Sri Lanka,1033136,1266709,869113,768578,2696942,1266225,698902,1168617,1469941,972533,110224,231225,163393,329975,403183,171576,410840,225821,110989,54904,111722,114332,0,0,111919,0,54631,108854,113127,54988,16020000,Arabica
Tanzania,57588504,50540119,48472172,56555116,36439675,43746322,54324976,38465858,40338392,35508851,40945049,49993296,28801066,48956111,30100092,41692398,42354061,45813522,46898353,63731615,31616006,46365387,42636363,52656387,39085553,40679908,50871254,38429851,48545987,57937688,1432320000,Arabica
Thailand,55994014,30231154,67681626,57222533,61908022,65506874,48221179,59350383,44598581,28039420,54649505,65504271,14603753,9926942,24521790,21453361,29389702,20905830,9724272,10748557,20814448,13373232,20007931,2841186,1536588,33159883,7287146,7734455,14181323,10033397,970620000,Arabica
Timor-Leste,0,0,0,0,0,0,0,0,0,0,57030,1843099,1708255,2648369,1196209,1011533,2856671,1776686,2812132,2528241,3936806,2217922,3207383,4002429,6207505,3837100,3673461,4770073,7370370,6357013,68040000,Robusta
Togo,13494157,9110323,18393383,12541961,9394149,11481030,4937801,17143422,9115792,18316405,15769601,10800398,5500721,4172611,8193043,9638049,6577115,9049164,6880284,8260999,11174379,8735678,8382045,4926980,7801697,10330080,4193017,1514953,6279062,3389323,291420000,Excelsa
Trinidad & Tobago,1749769,457461,115441,560822,276687,230988,223934,221554,275388,166148,164246,169001,115380,109702,115985,56094,57041,58248,57660,0,55571,0,57146,110661,108740,111423,111312,108081,170259,111915,6480000,Arabica
Uganda,135645768,121322985,108876644,105119577,193130408,174751925,262214624,202629417,186680039,215939367,140080769,177945108,186054478,144855040,142889017,137753042,120175074,152429774,190020157,164386591,156131455,175584031,152224502,212544907,195091101,195898781,199807998,267056361,239124692,244458147,5632200000,Arabica
Venezuela,15843120,7059115,7816703,29961496,22116619,5577368,27179043,5763793,15093444,26909323,2202128,1471748,10876494,14891039,9833783,1257610,3520741,3795790,6775851,1048693,1072020,0,111147,337931,0,55924,0,0,4051701,2986128,241260000,Arabica
Viet Nam,65283413,65610740,111196711,117257622,154377459,202449493,214549129,349780239,352026172,449651981,647258938,792462406,644450994,638887286,860453111,767538938,776350035,1046110108,887211753,951694311,835269010,989632955,1330036917,1072868303,1441218229,1235435237,1609545768,1470937658,1825646385,1529392738,24924480000,Robusta
Yemen,2815051,4081785,2030804,2932334,5225952,4352315,2447696,4617557,3904938,3985609,3247798,3596858,3543374,3139230,2440761,4510198,3321144,3961745,3690261,2289686,2554688,1955119,3534357,3188882,3273058,2853929,2103658,2624649,2302465,681165,101220000,Robusta
Zambia,1354992,1700991,1700579,1303573,1391552,1223807,1985003,2128356,1847510,2991827,3755929,6696140,5570003,7546683,5957129,6217204,4417795,3099439,2620746,1880489,1056159,491937,400011,561029,289044,164424,579852,704691,1438290,1518171,76260000,Arabica
Zimbabwe,13614359,13278270,9419950,3896146,1823956,8517243,8581496,6406631,8693566,7631130,6445311,5687137,6839294,5245670,6187119,4003270,2991464,1807070,1274163,993923,387847,276203,223411,114780,597316,633367,662105,117038,292216,325986,136080000,Arabica
